Code,Name,Topics
law-sec,Sectoral laws,
law-sec-agr,Agriculture law,
law-sec-agr-1,Agriculture and land use law,"Agricultural grants and subsidies (SFI, BPS), Rural Payments Agency, Agri-environment schemes"
law-sec-nar,Natural resources law,
law-sec-nar-1,Mining and minerals law,
law-sec-nar-2,Oil and gas law,
law-sec-mfg,Manufacturing law,
law-sec-mfg-1,Product safety law,UKCA marking
law-sec-mfg-2,Industrial operations law,"COMAH regulations, Environmental Permitting Regulations"
law-sec-mfg-3,Chemicals law,"UK REACH, UK CLP, UK BPR"
law-sec-ens,Energy supply law,
law-sec-ens-1,Electricity law,
law-sec-ens-2,Gas law,
law-sec-ens-3,Renewable energy law,"Contracts for difference (CfD), Renewable Obligation Certificates (ROCs), Crown Estate seabed leasing"
law-sec-ens-4,Nuclear energy law,"ONR (Office for Nuclear Regulation), Nuclear Decommissioning Authority"
law-sec-wtw,Water and waste law,
law-sec-wtw-1,Water services law,Water industry special administration
law-sec-wtw-2,Waste management law,"UK WEEE Regulations, End-of-life vehicles"
law-sec-csn,Construction law,
law-sec-csn-1,Construction contracts law,"JCT and NEC standard forms, Housing Grants Act (statutory payment and adjudication), Building Safety Act 2022, Collateral warranties"
law-sec-csn-2,Infrastructure law,"PFI (Private Finance Initiative), NSIP regime, Community Infrastructure Levy (CIL), Wayleaves"
law-sec-rwt,Retail and wholesale trade law,
law-sec-rwt-1,Retail law,"Sunday trading, Gambling in retail, UK retail planning"
law-sec-rwt-2,Wholesale and distribution law,"Modern Slavery Act compliance, Late payment regulation"
law-sec-trs,Transportation and storage law,
law-sec-trs-1,Rail law,"Rail franchises and concessions, ORR (train operating company regulation), Rail special administration"
law-sec-trs-2,Road law,"HGV O-licence, DVSA enforcement, Low emission zones (ULEZ)"
law-sec-trs-3,Maritime law,
law-sec-trs-4,Aviation law,UK CAA (post-Brexit aviation safety)
law-sec-trs-5,Space law,
law-sec-trs-6,Storage law,COMAH bulk storage
law-sec-hos,Hospitality services law,
law-sec-hos-1,Hotel and accommodation law,"Holiday let licensing, Camping and caravan site licensing"
law-sec-hos-2,Food and beverage law,"Premises licensing (Licensing Act 2003), Minimum unit pricing, Late-night levy, Pavement licensing"
law-sec-ins,Information and recreational services law,
law-sec-ins-1,Telecommunications law,"Ofcom, Electronic Communications Code, Wayleaves"
law-sec-ins-2,Media and entertainment law,"PSB obligations, Ofcom Broadcasting Code, IPSO / IMPRESS press regulation"
law-sec-ins-3,Sports law,"National Lottery and sports funding, Stadium safety"
law-sec-ins-4,Gambling law,"Gambling Act 2005, Gambling Commission, National Lottery, Spread betting (FCA)"
law-sec-ins-5,Postal services law,"Ofcom postal regulation, Royal Mail (designated USP), Postal Address File (PAF)"
law-sec-fsv,Financial services law,
law-sec-fsv-1,Banking law,"PRA prudential rules, Payment Services Regulations 2017, SMCR, FCA crypto-asset framework"
