Code,Name,Topics
law-sec,Sectoral laws,
law-sec-agr,Agriculture law,
law-sec-agr-1,Agriculture and land use law,"CAP pillar 1 (direct payments), CAP pillar 2 (rural development), Agri-environment schemes, CPVO (plant variety rights)"
law-sec-nar,Natural resources law,
law-sec-nar-1,Mining and minerals law,
law-sec-nar-2,Oil and gas law,
law-sec-mfg,Manufacturing law,
law-sec-mfg-1,Product safety law,"CE marking, General Product Safety Regulation (GPSR)"
law-sec-mfg-2,Industrial operations law,"Industrial Emissions Directive (IED), Seveso III Directive, EU BAT conclusions"
law-sec-mfg-3,Chemicals law,"EU REACH, EU CLP, EU BPR, CBAM (chemicals)"
law-sec-ens,Energy supply law,
law-sec-ens-1,Electricity law,"Clean Energy Package (Electricity Regulation 2019/943), Internal electricity market rules"
law-sec-ens-2,Gas law,"EU Gas Directive (2009/73), Hydrogen and Decarbonised Gas Markets Regulation"
law-sec-ens-3,Renewable energy law,"Renewable Energy Directive (RED III), Guarantees of Origin"
law-sec-ens-4,Nuclear energy law,"Euratom Treaty, EU nuclear safety Directive"
law-sec-wtw,Water and waste law,
law-sec-wtw-1,Water services law,"Water Framework Directive, Bathing Water Directive"
law-sec-wtw-2,Waste management law,"EU WEEE Directive, End-of-life vehicles Directive, Packaging and Packaging Waste Regulation, Circular Economy Action Plan"
law-sec-csn,Construction law,
law-sec-csn-1,Construction contracts law,
law-sec-csn-2,Infrastructure law,EU public procurement directives (2014/24 and 2014/25)
law-sec-rwt,Retail and wholesale trade law,
law-sec-rwt-1,Retail law,"Tobacco Products Directive, Digital Services Act (marketplace obligations)"
law-sec-rwt-2,Wholesale and distribution law,"VBER (vertical agreements block exemption), Late Payment Directive, CSDDD (supply chain due diligence)"
law-sec-trs,Transportation and storage law,
law-sec-trs-1,Rail law,"EU Rail Packages (liberalisation), Rail passenger rights regulation, Single European Railway Area (SERA)"
law-sec-trs-2,Road law,"Tachograph regulation, Drivers' hours (Regulation 561/2006), Road haulage market access"
law-sec-trs-3,Maritime law,
law-sec-trs-4,Aviation law,"EASA, Air Passenger Rights Regulation (261/2004)"
law-sec-trs-5,Space law,
law-sec-trs-6,Storage law,
law-sec-hos,Hospitality services law,
law-sec-hos-1,Hotel and accommodation law,Timeshare and holiday products Directive (2008/122)
law-sec-hos-2,Food and beverage law,"General Food Law Regulation (178/2002), Food labelling regulation"
law-sec-ins,Information and recreational services law,
law-sec-ins-1,Telecommunications law,"EU Electronic Communications Code (EECC), BEREC"
law-sec-ins-2,Media and entertainment law,"Audiovisual Media Services Directive (AVMSD), Content production quotas"
law-sec-ins-3,Sports law,"EU sports policy, Bosman ruling (free movement in sport)"
law-sec-ins-4,Gambling law,"Online gambling (national competence — fragmented), AML gambling provisions"
law-sec-ins-5,Postal services law,EU Postal Services Directive
law-sec-fsv,Financial services law,
law-sec-fsv-1,Banking law,"CRD VI / CRR III, PSD2 / PSD3, MiCA (Regulation 2023/1114)"
